,Slack,SD,Machines,Accepted Load,Rejected Load,Available Resource
255,0.5,0.208,10,1212557.8,15258642.2,1743457
256,0.5,0.208,50,3407534.3,13063665.7,8410330
257,0.5,0.208,90,4972930,11498270,15231408
258,0.5,0.208,130,6920352.4,9550847.6,16471200
259,0.5,0.208,170,7986976.9,8484223.1,16471200
260,0.5,0.217,10,1168356.3,15302843.7,1691463
261,0.5,0.217,50,3264550.6,13206649.4,8964030
262,0.5,0.217,90,5294393.2,11176806.8,15472779
263,0.5,0.217,130,6640125.6,9831074.4,16471200
264,0.5,0.217,170,7845513.7,8625686.3,16471200
265,0.5,0.227,10,1167414.5,15303785.5,1651904
266,0.5,0.227,50,3332236.8,13138963.2,8443415
267,0.5,0.227,90,5338459.2,11132740.8,15125241
268,0.5,0.227,130,6767145,9704055,16471200
269,0.5,0.227,170,7500492.4,8970707.6,16471200
270,0.5,0.238,10,1167851,15303349,1735552
271,0.5,0.238,50,3120563.5,13350636.5,9024465
272,0.5,0.238,90,5032982.2,11438217.8,14884443
273,0.5,0.238,130,6536894.8,9934305.2,16471200
274,0.5,0.238,170,7295585.7,9175614.3,16471200
275,0.6,0.2,10,1269121.1,15202078.9,1762985
276,0.6,0.2,50,3177994.3,13293205.7,8849485
277,0.6,0.2,90,5147839.7,11323360.3,15379848
278,0.6,0.2,130,6947233.2,9523966.8,16471200
279,0.6,0.2,170,7705155.7,8766044.3,16471200
280,0.6,0.3,10,1171268,15299932,1744060
281,0.6,0.3,50,3065873,13405327,8854430
282,0.6,0.3,90,5307789.4,11163410.6,15901620
283,0.6,0.3,130,6480261.4,9990938.6,16471200
284,0.6,0.3,170,7593047.5,8878152.5,16471200
285,0.6,0.24,10,1252402.9,15218797.1,1785591
286,0.6,0.24,50,3117321.2,13353878.8,8735430
287,0.6,0.24,90,5129411,11341789,15316320
288,0.6,0.24,130,6356415.6,10114784.4,16471200
289,0.6,0.24,170,7444211,9026989,16471200
290,0.6,0.25,10,1192889.3,15278310.7,1829827
291,0.6,0.25,50,3163340,13307860,8698905
292,0.6,0.25,90,5090143.9,11381056.1,15257829
293,0.6,0.25,130,6213491.8,10257708.2,16471200
294,0.6,0.25,170,7458827.7,9012372.3,16471200
295,0.6,0.207,10,1194646.7,15276553.3,1761812
296,0.6,0.207,50,3231312,13239888,8738435
297,0.6,0.207,90,4982351.2,11488848.8,15746457
298,0.6,0.207,130,6457081.1,10014118.9,16471200
299,0.6,0.207,170,7562012.9,8909187.1,16471200
300,0.6,0.214,10,1133152.8,15338047.2,1787594
301,0.6,0.214,50,3065213,13405987,8661790
302,0.6,0.214,90,4899332.9,11571867.1,14943408
303,0.6,0.214,130,6222939.9,10248260.1,16471200
304,0.6,0.214,170,7309372.5,9161827.5,16471200
305,0.6,0.222,10,1195267.7,15275932.3,1800717
306,0.6,0.222,50,2975924,13495276,9242945
307,0.6,0.222,90,4805993.9,11665206.1,15802431
308,0.6,0.222,130,6703089.3,9768110.7,16471200
309,0.6,0.222,170,7489069.3,8982130.7,16471200
310,0.6,0.231,10,1308599.8,15162600.2,1801855
311,0.6,0.231,50,3155523.7,13315676.3,8980805
312,0.6,0.231,90,4986390.4,11484809.6,15599148
313,0.6,0.231,130,6523455.5,9947744.5,16471200
314,0.6,0.231,170,7277407.4,9193792.6,16471200
315,0.6,0.261,10,1276996.1,15194203.9,1888928
316,0.6,0.261,50,3115320.1,13355879.9,8483550
317,0.6,0.261,90,4864060.8,11607139.2,14640414
318,0.6,0.261,130,6580196.6,9891003.4,16471200
319,0.6,0.261,170,7218348.9,9252851.1,16471200
320,0.6,0.273,10,1252520.3,15218679.7,1787108
321,0.6,0.273,50,3242508.1,13228691.9,8872870
322,0.6,0.273,90,5154047.2,11317152.8,15100683
323,0.6,0.273,130,6655176,9816024,16471200
324,0.6,0.273,170,7863844,8607356,16471200
325,0.6,0.286,10,1235819.7,15235380.3,1924312
326,0.6,0.286,50,3151696.4,13319503.6,9233010
327,0.6,0.286,90,5103278.2,11367921.8,15702021
328,0.6,0.286,130,6348950.7,10122249.3,16471200
329,0.6,0.286,170,6844596.6,9626603.4,16471200
330,0.7,0.25,10,1170974.2,15300225.8,1799650
331,0.7,0.25,50,3183091,13288109,9040390
332,0.7,0.25,90,4965937.1,11505262.9,15588819
333,0.7,0.25,130,6118833.8,10352366.2,16471200
334,0.7,0.25,170,7138874.9,9332325.1,16471200
335,0.7,0.28,10,1278722.1,15192477.9,1713930
336,0.7,0.28,50,3087191.3,13384008.7,8748845
337,0.7,0.28,90,4720093.4,11751106.6,16155054
338,0.7,0.28,130,6275585.6,10195614.4,16471200
339,0.7,0.28,170,7137077.9,9334122.1,16471200
340,0.7,0.35,10,1302439.3,15168760.7,1946860
341,0.7,0.35,50,3152441.3,13318758.7,8832515
342,0.7,0.35,90,4793526.7,11677673.3,15359931
343,0.7,0.35,130,5722107.8,10749092.2,16471200
344,0.7,0.35,170,6870393.5,9600806.5,16471200
345,0.7,0.233,10,1268787.1,15202412.9,1866052
