,,Machines,File,Accepted Load Algorithm,Accepted Load Greedy,Available Resource,Performance Ratio Algorithm,Performance Ratio Greedy,Difference In PR
278,0.1,100,S9,4515008,8671633,10023723,2.220089754,1.155921036,1.064168718
279,0.1,100,S10,4312421,8664630,10023723,2.324384145,1.156855284,1.167528861
280,0.1,110,S1,5627170,9075846,10023723,1.781308011,1.10443952,0.676868491
281,0.1,110,S2,6492973,9065836,10023723,1.543780176,1.105658982,0.438121194
282,0.1,110,S3,5663501,9066617,10023723,1.769881033,1.10556374,0.664317293
283,0.1,110,S4,6104188,9075418,10023723,1.642105879,1.104491606,0.537614273
284,0.1,110,S5,6486932,9083004,10023723,1.545217832,1.10356915,0.441648682
285,0.1,110,S6,4207766,9067151,10023723,2.382195921,1.105498629,1.276697292
286,0.1,110,S7,4899571,9066034,10023723,2.04583687,1.105634834,0.940202036
287,0.1,110,S8,5620623,9059640,10023723,1.78338291,1.106415156,0.676967754
288,0.1,110,S9,4270077,9082728,10023723,2.347433782,1.103602684,1.243831098
289,0.1,110,S10,4763033,9087059,10023723,2.104483215,1.103076694,1.001406521
290,0.1,120,S1,5854117,9404816,10023723,1.712251908,1.065807454,0.646444453
291,0.1,120,S2,5463673,9397921,10023723,1.83461254,1.066589408,0.768023132
292,0.1,120,S3,6077957,9403888,10023723,1.649192813,1.065912631,0.583280182
293,0.1,120,S4,6678619,9404001,10023723,1.500867619,1.065899823,0.434967797
294,0.1,120,S5,5814123,9412568,10023723,1.72403009,1.064929677,0.659100413
295,0.1,120,S6,5309956,9402127,10023723,1.887722422,1.066112274,0.821610147
296,0.1,120,S7,5375484,9407296,10023723,1.864710787,1.065526481,0.799184306
297,0.1,120,S8,6623620,9396693,10023723,1.513330022,1.066728795,0.446601227
298,0.1,120,S9,4654667,9408815,10023723,2.153478004,1.065354457,1.088123546
299,0.1,120,S10,5216737,9412467,10023723,1.921454541,1.064941104,0.856513437
300,0.1,130,S1,6130286,9649191,10023723,1.635115066,1.03881486,0.596300206
301,0.1,130,S2,5548185,9657389,10023723,1.806667045,1.037933027,0.768734018
302,0.1,130,S3,7020961,9657656,10023723,1.427685327,1.037904332,0.389780995
303,0.1,130,S4,5350822,9654000,10023723,1.87330526,1.03829739,0.835007871
304,0.1,130,S5,5925897,9661578,10023723,1.691511513,1.037483007,0.654028506
305,0.1,130,S6,5428488,9652691,10023723,1.846503667,1.038438193,0.808065474
306,0.1,130,S7,5681720,9657035,10023723,1.764205733,1.037971075,0.726234659
307,0.1,130,S8,5949183,9655710,10023723,1.684890682,1.03811351,0.646777172
308,0.1,130,S9,7011327,9660303,10023723,1.429647055,1.037619938,0.392027117
309,0.1,130,S10,6831737,9659084,10023723,1.467229052,1.037750888,0.429478164
310,0.1,140,S1,5948375,9829572,10023723,1.685119549,1.019751725,0.665367825
311,0.1,140,S2,7355148,9842573,10023723,1.362817308,1.01840474,0.344412568
312,0.1,140,S3,7376158,9839592,10023723,1.358935505,1.018713276,0.34022223
313,0.1,140,S4,6091515,9837318,10023723,1.645522173,1.018948762,0.626573411
314,0.1,140,S5,7033733,9840034,10023723,1.425092906,1.018667517,0.406425389
315,0.1,140,S6,5515878,9838071,10023723,1.817248859,1.018870773,0.798378086
316,0.1,140,S7,6626222,9841548,10023723,1.512735764,1.018510807,0.494224957
317,0.1,140,S8,5991494,9843679,10023723,1.672992245,1.018290316,0.654701929
318,0.1,140,S9,5827540,9839907,10023723,1.72006078,1.018680664,0.701380116
319,0.1,140,S10,6047343,9844065,10023723,1.657541667,1.018250387,0.63929128
320,0.1,150,S1,6008307,9946246,10023723,1.668310724,1.007789572,0.660521152
321,0.1,150,S2,7525752,9954346,10023723,1.331923109,1.006969519,0.32495359
322,0.1,150,S3,7214306,9952199,10023723,1.389423044,1.007186753,0.38223629
323,0.1,150,S4,7440414,9951359,10023723,1.347199632,1.007271771,0.339927861
324,0.1,150,S5,5948457,9954764,10023723,1.68509632,1.006927236,0.678169084
325,0.1,150,S6,5463658,9947890,10023723,1.834617577,1.007623024,0.826994553
326,0.1,150,S7,6034364,9951913,10023723,1.661106788,1.007215698,0.65389109
327,0.1,150,S8,5931183,9955011,10023723,1.690004001,1.006902253,0.683101748
328,0.1,150,S9,6060568,9954226,10023723,1.653924682,1.006981658,0.646943024
329,0.1,150,S10,6208525,9953930,10023723,1.614509565,1.007011602,0.607497963
330,0.1,160,S1,7624516,9995677,10023723,1.314670072,1.002805813,0.311864259
331,0.1,160,S2,5877681,9999368,10023723,1.70538738,1.002435654,0.702951726
