,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
311,0.1,0.038,S2,50,3396538,6137546,7576550
312,0.1,0.038,S3,50,2129002,7405082,5635300
313,0.1,0.038,S4,50,2789662,6744422,5662200
314,0.1,0.038,S5,50,2807468,6726616,6924250
315,0.1,0.038,S6,50,3119510,6414574,6791950
316,0.1,0.038,S7,50,3346841,6187243,7443600
317,0.1,0.038,S8,50,3042139,6491945,5427550
318,0.1,0.038,S9,50,3300487,6233597,7394400
319,0.1,0.038,S10,50,2987929,6546155,7762800
320,0.1,0.038,S1,90,4628731,4905353,9534084
321,0.1,0.038,S2,90,4761343,4772741,9534084
322,0.1,0.038,S3,90,5452823,4081261,9534084
323,0.1,0.038,S4,90,3752914,5781170,9534084
324,0.1,0.038,S5,90,4521778,5012306,9534084
325,0.1,0.038,S6,90,3629817,5904267,9534084
326,0.1,0.038,S7,90,4024534,5509550,9534084
327,0.1,0.038,S8,90,5781881,3752203,9534084
328,0.1,0.038,S9,90,4028138,5505946,9534084
329,0.1,0.038,S10,90,4564988,4969096,9534084
330,0.1,0.038,S1,130,5011724,4522360,9534084
331,0.1,0.038,S2,130,4692126,4841958,9534084
332,0.1,0.038,S3,130,6759654,2774430,9534084
333,0.1,0.038,S4,130,4851974,4682110,9534084
334,0.1,0.038,S5,130,4906640,4627444,9534084
335,0.1,0.038,S6,130,5167330,4366754,9534084
336,0.1,0.038,S7,130,6611190,2922894,9534084
337,0.1,0.038,S8,130,5029885,4504199,9534084
338,0.1,0.038,S9,130,6634010,2900074,9534084
339,0.1,0.038,S10,130,4868357,4665727,9534084
340,0.1,0.038,S1,170,5195430,4338654,9534084
341,0.1,0.038,S2,170,6847412,2686672,9534084
342,0.1,0.038,S3,170,5345026,4189058,9534084
343,0.1,0.038,S4,170,6966119,2567965,9534084
344,0.1,0.038,S5,170,6948499,2585585,9534084
345,0.1,0.038,S6,170,5151198,4382886,9534084
346,0.1,0.038,S7,170,6917520,2616564,9534084
347,0.1,0.038,S8,170,5011592,4522492,9534084
348,0.1,0.038,S9,170,6822873,2711211,9534084
349,0.1,0.038,S10,170,4955571,4578513,9534084
350,0.1,0.042,S1,10,881708,8652376,1452130
351,0.1,0.042,S2,10,1070249,8463835,1550980
352,0.1,0.042,S3,10,850345,8683739,1445020
353,0.1,0.042,S4,10,933786,8600298,1456710
